# energy/N    magnetization    seed 
-0.5652    0.012    1692387707.459648 
-0.4916    0.0056    1692387707.4653232 
-0.478    0.0008    1692387707.470882 
-0.5052    0.0008    1692387707.4764552 
-0.4928    -0.024    1692387707.482162 
-0.4804    0.0104    1692387707.4878154 
-0.4856    -0.0064    1692387707.4934118 
-0.5576    -0.0064    1692387707.4990778 
-0.4912    0.008    1692387707.504643 
-0.5076    0.0216    1692387707.5102122 
-0.4952    0.0064    1692387707.5159185 
-0.5144    -0.0064    1692387707.5214772 
-0.4868    0.0152    1692387707.527052 
-0.4332    -0.0136    1692387707.5327606 
-0.562    -0.0376    1692387707.5384018 
-0.5148    0.0328    1692387707.5439882 
-0.4968    0.0064    1692387707.549701 
-0.5292    0.0136    1692387707.5552704 
-0.4772    -0.02    1692387707.5608249 
-0.49    0.0264    1692387707.5665662 
-0.4992    0.0048    1692387707.5721555 
-0.4676    0.0072    1692387707.577712 
-0.4984    -0.0128    1692387707.583436 
-0.4976    0.024    1692387707.5890613 
-0.5316    -0.0168    1692387707.59464 
-0.4896    0.008    1692387707.600385 
-0.5132    -0.0136    1692387707.6059835 
-0.4876    -0.0248    1692387707.611563 
-0.51    -0.0184    1692387707.6173122 
-0.4728    0.0064    1692387707.6229122 
-0.5124    0.0312    1692387707.6285033 
-0.4908    -0.0008    1692387707.6342573 
-0.5168    -0.0144    1692387707.6398246 
-0.5076    0.0056    1692387707.6453762 
-0.5164    -0.02    1692387707.6511352 
-0.512    -0.008    1692387707.6566913 
-0.4404    0.0136    1692387707.6622539 
-0.5024    0.024    1692387707.6680071 
-0.4836    0.004    1692387707.6735864 
-0.4444    -0.0008    1692387707.6791577 
-0.5036    -0.012    1692387707.6848927 
-0.506    0.004    1692387707.6904323 
-0.5172    -0.0056    1692387707.6960645 
-0.5048    -0.0256    1692387707.7018023 
-0.5072    -0.008    1692387707.707371 
-0.474    -0.0184    1692387707.7129436 
-0.5076    -0.0104    1692387707.7187216 
-0.5184    -0.0144    1692387707.7242932 
-0.5228    -0.036    1692387707.7299685 
-0.464    -0.0272    1692387707.7356641 
-0.5412    -0.0408    1692387707.7412672 
-0.4948    -0.0072    1692387707.746921 
-0.4676    0.0088    1692387707.7527485 
-0.4552    -0.0064    1692387707.7584724 
-0.4876    0.0136    1692387707.7642193 
-0.5084    0.0232    1692387707.7698984 
-0.4968    -0.0032    1692387707.775502 
-0.4932    0.0008    1692387707.7811935 
-0.5264    0.0016    1692387707.7868793 
-0.4856    0.0    1692387707.7924802 
-0.5084    0.0024    1692387707.798181 
-0.5296    -0.0112    1692387707.8038437 
-0.4576    -0.0208    1692387707.8094268 
-0.4368    -0.008    1692387707.8150558 
