# mcs  energy  magnetization 
508  -0.8132  -0.0306 
509  -0.838  -0.01 
510  -0.846  0.008 
511  -0.7756  0.0152 
512  -0.7948  0.0006 
513  -0.8236  0.019 
514  -0.8104  0.0372 
515  -0.8264  0.0588 
516  -0.8216  -0.0108 
517  -0.8088  -0.063 
518  -0.8544  -0.06 
519  -0.8196  -0.0842 
520  -0.8424  -0.0962 
521  -0.8636  -0.0686 
522  -0.8008  -0.0246 
523  -0.8264  0.0042 
524  -0.8024  -0.0012 
525  -0.8124  0.0302 
526  -0.8156  0.03 
527  -0.8048  0.0134 
528  -0.8196  0.0342 
529  -0.8148  0.0074 
530  -0.8144  0.0414 
531  -0.8012  0.0194 
532  -0.8176  0.0122 
533  -0.828  0.0366 
534  -0.8088  0.073 
535  -0.7936  0.075 
536  -0.788  0.0384 
537  -0.81  0.0678 
538  -0.8208  0.0274 
539  -0.828  0.021 
540  -0.8448  0.0422 
541  -0.8396  0.0504 
542  -0.8648  0.052 
543  -0.8544  0.0034 
544  -0.8268  0.0072 
545  -0.852  0.0566 
546  -0.8384  0.0312 
547  -0.8324  0.039 
548  -0.818  0.018 
549  -0.8228  0.05 
550  -0.8608  0.0266 
551  -0.8252  0.0244 
552  -0.8252  0.0224 
553  -0.8444  0.014 
554  -0.832  0.0356 
555  -0.81  0.036 
556  -0.8296  0.0128 
557  -0.8148  -0.0066 
558  -0.8332  0.0078 
559  -0.8292  0.0272 
560  -0.8208  -0.011 
561  -0.8148  -0.033 
562  -0.81  -0.029 
563  -0.7908  0.0128 
564  -0.8436  0.0308 
565  -0.8276  0.0284 
566  -0.8704  0.0164 
567  -0.8332  -0.0422 
568  -0.8336  -0.0204 
569  -0.8352  -0.0398 
570  -0.8136  -0.0516 
571  -0.7888  -0.0632 
572  -0.8224  -0.0534 
573  -0.8188  -0.0544 
574  -0.7904  -0.0244 
575  -0.8396  -0.0978 
576  -0.8344  -0.0672 
577  -0.8132  -0.0986 
578  -0.8008  -0.086 
579  -0.8168  -0.0122 
580  -0.8156  -0.004 
581  -0.8168  -0.0128 
582  -0.828  -0.0118 
583  -0.8152  0.0052 
584  -0.8052  0.0394 
585  -0.8324  0.0534 
586  -0.8308  0.019 
587  -0.8012  0.0248 
588  -0.7984  0.0122 
589  -0.8272  0.0026 
590  -0.8312  0.0254 
591  -0.836  0.0118 
592  -0.8136  0.0324 
593  -0.8372  0.0404 
594  -0.8476  -0.0034 
595  -0.8184  -0.0666 
596  -0.8184  -0.0248 
597  -0.8216  -0.0696 
598  -0.8452  -0.0824 
599  -0.8096  -0.075 
600  -0.7876  -0.0224 
601  -0.7584  -0.0036 
602  -0.7696  0.029 
603  -0.8  0.0256 
604  -0.7904  0.0246 
605  -0.7788  0.0152 
606  -0.7944  -0.0132 
607  -0.7984  0.0254 
608  -0.8124  0.0046 
609  -0.8248  -0.0042 
610  -0.8264  -0.017 
611  -0.7764  -0.0544 
612  -0.792  -0.0356 
