# mcs  energy  magnetization 
397  -1.7284  -0.888 
398  -1.7676  -0.9 
399  -1.7692  -0.9068 
400  -1.7432  -0.9036 
401  -1.7516  -0.913 
402  -1.7368  -0.907 
403  -1.7416  -0.9028 
404  -1.7204  -0.891 
405  -1.7044  -0.8906 
406  -1.752  -0.9076 
407  -1.7308  -0.8982 
408  -1.7184  -0.8932 
409  -1.736  -0.9074 
410  -1.7512  -0.9178 
411  -1.7088  -0.8996 
412  -1.7152  -0.8962 
413  -1.7472  -0.905 
414  -1.74  -0.9024 
415  -1.7328  -0.9014 
416  -1.7328  -0.8976 
417  -1.7516  -0.9076 
418  -1.724  -0.9042 
419  -1.7672  -0.922 
420  -1.7652  -0.9222 
421  -1.7832  -0.932 
422  -1.7516  -0.915 
423  -1.7576  -0.9154 
424  -1.7404  -0.91 
425  -1.7648  -0.9176 
426  -1.75  -0.9106 
427  -1.7412  -0.9068 
428  -1.7456  -0.9088 
429  -1.7608  -0.9156 
430  -1.726  -0.9066 
431  -1.7392  -0.9084 
432  -1.7448  -0.9048 
433  -1.7332  -0.9068 
434  -1.7372  -0.9088 
435  -1.7516  -0.9142 
436  -1.7408  -0.9102 
437  -1.7444  -0.9096 
438  -1.7456  -0.909 
439  -1.732  -0.9054 
440  -1.754  -0.9128 
441  -1.7476  -0.91 
442  -1.7472  -0.9188 
443  -1.7448  -0.9102 
444  -1.732  -0.9078 
445  -1.74  -0.9104 
446  -1.724  -0.9074 
447  -1.7356  -0.906 
448  -1.7296  -0.9042 
449  -1.7228  -0.9048 
450  -1.716  -0.9024 
451  -1.7516  -0.9148 
452  -1.7288  -0.9108 
453  -1.758  -0.917 
454  -1.7572  -0.9158 
455  -1.764  -0.9132 
456  -1.7536  -0.9134 
457  -1.7264  -0.8982 
458  -1.75  -0.9068 
459  -1.7396  -0.9074 
460  -1.7572  -0.919 
461  -1.7628  -0.9226 
462  -1.7888  -0.932 
463  -1.7704  -0.9256 
464  -1.7564  -0.9124 
465  -1.7532  -0.9144 
466  -1.744  -0.9106 
467  -1.7416  -0.9052 
468  -1.7384  -0.903 
469  -1.7388  -0.9082 
470  -1.74  -0.9044 
471  -1.746  -0.909 
472  -1.7272  -0.9018 
473  -1.7384  -0.9086 
474  -1.7264  -0.9064 
475  -1.7232  -0.9088 
476  -1.7336  -0.9034 
477  -1.7304  -0.9026 
478  -1.7588  -0.92 
479  -1.7292  -0.9054 
480  -1.752  -0.9146 
481  -1.7512  -0.9176 
482  -1.7656  -0.9192 
483  -1.7604  -0.9196 
484  -1.74  -0.9098 
485  -1.7488  -0.9148 
486  -1.7564  -0.9178 
487  -1.7332  -0.914 
488  -1.7536  -0.9172 
489  -1.7612  -0.9202 
490  -1.7412  -0.9142 
491  -1.7452  -0.9162 
492  -1.7484  -0.9166 
493  -1.7636  -0.9216 
494  -1.726  -0.9072 
495  -1.7544  -0.9098 
496  -1.7452  -0.9094 
497  -1.74  -0.9146 
498  -1.7812  -0.9298 
499  -1.7736  -0.9256 
500  -1.754  -0.9158 
501  -1.7516  -0.9164 
502  -1.7712  -0.9218 
503  -1.7492  -0.9134 
504  -1.7748  -0.925 
505  -1.7712  -0.9224 
506  -1.7748  -0.928 
507  -1.7692  -0.9214 
508  -1.7524  -0.911 
509  -1.77  -0.9196 
510  -1.7776  -0.9236 
511  -1.7672  -0.9184 
512  -1.7752  -0.9224 
513  -1.7644  -0.92 
